?supname	?sup	?subname	?sub
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 12/47l"	<http://purl.obolibrary.org/obo/DHBA_10781>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 12/47l"	<http://purl.obolibrary.org/obo/DHBA_10782>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 12/47l"	<http://purl.obolibrary.org/obo/DHBA_10783>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 12/47l"	<http://purl.obolibrary.org/obo/DHBA_10784>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 12/47l"	<http://purl.obolibrary.org/obo/DHBA_10785>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area M1hf"	<http://purl.obolibrary.org/obo/DHBA_10786>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area M1hf"	<http://purl.obolibrary.org/obo/DHBA_10787>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area M1hf"	<http://purl.obolibrary.org/obo/DHBA_10788>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area M1hf"	<http://purl.obolibrary.org/obo/DHBA_10789>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area M1hf"	<http://purl.obolibrary.org/obo/DHBA_10790>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area M1ul"	<http://purl.obolibrary.org/obo/DHBA_10791>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area M1ul"	<http://purl.obolibrary.org/obo/DHBA_10792>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area M1ul"	<http://purl.obolibrary.org/obo/DHBA_10793>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area M1ul"	<http://purl.obolibrary.org/obo/DHBA_10794>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area M1ul"	<http://purl.obolibrary.org/obo/DHBA_10795>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area M1tr"	<http://purl.obolibrary.org/obo/DHBA_10796>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area M1tr"	<http://purl.obolibrary.org/obo/DHBA_10797>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area M1tr"	<http://purl.obolibrary.org/obo/DHBA_10798>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area M1tr"	<http://purl.obolibrary.org/obo/DHBA_10799>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area M1tr"	<http://purl.obolibrary.org/obo/DHBA_10800>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area M1lm"	<http://purl.obolibrary.org/obo/DHBA_10801>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area M1lm"	<http://purl.obolibrary.org/obo/DHBA_10802>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area M1lm"	<http://purl.obolibrary.org/obo/DHBA_10803>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area M1lm"	<http://purl.obolibrary.org/obo/DHBA_10804>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area M1lm"	<http://purl.obolibrary.org/obo/DHBA_10805>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 6ld"	<http://purl.obolibrary.org/obo/DHBA_10806>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 6ld"	<http://purl.obolibrary.org/obo/DHBA_10807>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 6ld"	<http://purl.obolibrary.org/obo/DHBA_10808>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 6ld"	<http://purl.obolibrary.org/obo/DHBA_10809>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 6ld"	<http://purl.obolibrary.org/obo/DHBA_10810>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 6lv"	<http://purl.obolibrary.org/obo/DHBA_10811>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 6lv"	<http://purl.obolibrary.org/obo/DHBA_10812>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 6lv"	<http://purl.obolibrary.org/obo/DHBA_10813>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 6lv"	<http://purl.obolibrary.org/obo/DHBA_10814>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 6lv"	<http://purl.obolibrary.org/obo/DHBA_10815>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 6m"	<http://purl.obolibrary.org/obo/DHBA_10816>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 6m"	<http://purl.obolibrary.org/obo/DHBA_10817>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 6m"	<http://purl.obolibrary.org/obo/DHBA_10818>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 6m"	<http://purl.obolibrary.org/obo/DHBA_10819>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 6m"	<http://purl.obolibrary.org/obo/DHBA_10820>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 8ld"	<http://purl.obolibrary.org/obo/DHBA_10821>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 8ld"	<http://purl.obolibrary.org/obo/DHBA_10822>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 8ld"	<http://purl.obolibrary.org/obo/DHBA_10823>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 8ld"	<http://purl.obolibrary.org/obo/DHBA_10824>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 8ld"	<http://purl.obolibrary.org/obo/DHBA_10825>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 8ld"	<http://purl.obolibrary.org/obo/DHBA_10826>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 8lv"	<http://purl.obolibrary.org/obo/DHBA_10827>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 8lv"	<http://purl.obolibrary.org/obo/DHBA_10828>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 8lv"	<http://purl.obolibrary.org/obo/DHBA_10829>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 8lv"	<http://purl.obolibrary.org/obo/DHBA_10830>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 8lv"	<http://purl.obolibrary.org/obo/DHBA_10831>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 8lv"	<http://purl.obolibrary.org/obo/DHBA_10832>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 8m"	<http://purl.obolibrary.org/obo/DHBA_10833>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 8m"	<http://purl.obolibrary.org/obo/DHBA_10834>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 8m"	<http://purl.obolibrary.org/obo/DHBA_10835>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 8m"	<http://purl.obolibrary.org/obo/DHBA_10836>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 8m"	<http://purl.obolibrary.org/obo/DHBA_10837>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 8m"	<http://purl.obolibrary.org/obo/DHBA_10838>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 9l"	<http://purl.obolibrary.org/obo/DHBA_10839>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 9l"	<http://purl.obolibrary.org/obo/DHBA_10840>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 9l"	<http://purl.obolibrary.org/obo/DHBA_10841>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 9l"	<http://purl.obolibrary.org/obo/DHBA_10842>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 9l"	<http://purl.obolibrary.org/obo/DHBA_10843>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 9l"	<http://purl.obolibrary.org/obo/DHBA_10844>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 9m"	<http://purl.obolibrary.org/obo/DHBA_10845>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 9m"	<http://purl.obolibrary.org/obo/DHBA_10846>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 9m"	<http://purl.obolibrary.org/obo/DHBA_10847>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 9m"	<http://purl.obolibrary.org/obo/DHBA_10848>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 9m"	<http://purl.obolibrary.org/obo/DHBA_10849>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 9m"	<http://purl.obolibrary.org/obo/DHBA_10850>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 9/46d"	<http://purl.obolibrary.org/obo/DHBA_10851>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 9/46d"	<http://purl.obolibrary.org/obo/DHBA_10852>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 9/46d"	<http://purl.obolibrary.org/obo/DHBA_10853>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 9/46d"	<http://purl.obolibrary.org/obo/DHBA_10854>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 9/46d"	<http://purl.obolibrary.org/obo/DHBA_10855>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 9/46d"	<http://purl.obolibrary.org/obo/DHBA_10856>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 9/46v"	<http://purl.obolibrary.org/obo/DHBA_10857>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 9/46v"	<http://purl.obolibrary.org/obo/DHBA_10858>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 9/46v"	<http://purl.obolibrary.org/obo/DHBA_10859>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 9/46v"	<http://purl.obolibrary.org/obo/DHBA_10860>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 9/46v"	<http://purl.obolibrary.org/obo/DHBA_10861>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 9/46v"	<http://purl.obolibrary.org/obo/DHBA_10862>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"dorsal subdivision of area 46"	<http://purl.obolibrary.org/obo/DHBA_10863>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 46d"	<http://purl.obolibrary.org/obo/DHBA_10864>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 46d"	<http://purl.obolibrary.org/obo/DHBA_10865>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 46d"	<http://purl.obolibrary.org/obo/DHBA_10866>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 46d"	<http://purl.obolibrary.org/obo/DHBA_10867>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 46d"	<http://purl.obolibrary.org/obo/DHBA_10868>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 46d"	<http://purl.obolibrary.org/obo/DHBA_10869>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"ventral subdivision of area 46"	<http://purl.obolibrary.org/obo/DHBA_10870>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 46v"	<http://purl.obolibrary.org/obo/DHBA_10871>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 46v"	<http://purl.obolibrary.org/obo/DHBA_10872>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 46v"	<http://purl.obolibrary.org/obo/DHBA_10873>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 46v"	<http://purl.obolibrary.org/obo/DHBA_10874>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 46v"	<http://purl.obolibrary.org/obo/DHBA_10875>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 46v"	<http://purl.obolibrary.org/obo/DHBA_10876>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 45r"	<http://purl.obolibrary.org/obo/DHBA_10883>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 45r"	<http://purl.obolibrary.org/obo/DHBA_10884>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 45r"	<http://purl.obolibrary.org/obo/DHBA_10885>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 45r"	<http://purl.obolibrary.org/obo/DHBA_10886>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 45r"	<http://purl.obolibrary.org/obo/DHBA_10887>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 45r"	<http://purl.obolibrary.org/obo/DHBA_10888>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 45c"	<http://purl.obolibrary.org/obo/DHBA_10889>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 45c"	<http://purl.obolibrary.org/obo/DHBA_10890>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 45c"	<http://purl.obolibrary.org/obo/DHBA_10891>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 45c"	<http://purl.obolibrary.org/obo/DHBA_10892>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 45c"	<http://purl.obolibrary.org/obo/DHBA_10893>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 45c"	<http://purl.obolibrary.org/obo/DHBA_10894>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 10m"	<http://purl.obolibrary.org/obo/DHBA_10895>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 10m"	<http://purl.obolibrary.org/obo/DHBA_10896>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 10m"	<http://purl.obolibrary.org/obo/DHBA_10897>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 10m"	<http://purl.obolibrary.org/obo/DHBA_10898>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 10m"	<http://purl.obolibrary.org/obo/DHBA_10899>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 10m"	<http://purl.obolibrary.org/obo/DHBA_10900>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 10l"	<http://purl.obolibrary.org/obo/DHBA_10901>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 10l"	<http://purl.obolibrary.org/obo/DHBA_10902>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 10l"	<http://purl.obolibrary.org/obo/DHBA_10903>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 10l"	<http://purl.obolibrary.org/obo/DHBA_10904>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 10l"	<http://purl.obolibrary.org/obo/DHBA_10905>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 10l"	<http://purl.obolibrary.org/obo/DHBA_10906>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 10o"	<http://purl.obolibrary.org/obo/DHBA_10907>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 10o"	<http://purl.obolibrary.org/obo/DHBA_10908>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 10o"	<http://purl.obolibrary.org/obo/DHBA_10909>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 10o"	<http://purl.obolibrary.org/obo/DHBA_10910>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 10o"	<http://purl.obolibrary.org/obo/DHBA_10911>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 10o"	<http://purl.obolibrary.org/obo/DHBA_10912>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area S1hf"	<http://purl.obolibrary.org/obo/DHBA_10913>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area S1hf"	<http://purl.obolibrary.org/obo/DHBA_10914>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area S1hf"	<http://purl.obolibrary.org/obo/DHBA_10915>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area S1hf"	<http://purl.obolibrary.org/obo/DHBA_10916>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area S1hf"	<http://purl.obolibrary.org/obo/DHBA_10917>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area S1hf"	<http://purl.obolibrary.org/obo/DHBA_10918>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area S1ul"	<http://purl.obolibrary.org/obo/DHBA_10919>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area S1ul"	<http://purl.obolibrary.org/obo/DHBA_10920>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area S1ul"	<http://purl.obolibrary.org/obo/DHBA_10921>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area S1ul"	<http://purl.obolibrary.org/obo/DHBA_10922>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area S1ul"	<http://purl.obolibrary.org/obo/DHBA_10923>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area S1ul"	<http://purl.obolibrary.org/obo/DHBA_10924>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area S1tr"	<http://purl.obolibrary.org/obo/DHBA_10925>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area S1tr"	<http://purl.obolibrary.org/obo/DHBA_10926>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area S1tr"	<http://purl.obolibrary.org/obo/DHBA_10927>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area S1tr"	<http://purl.obolibrary.org/obo/DHBA_10928>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area S1tr"	<http://purl.obolibrary.org/obo/DHBA_10929>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area S1tr"	<http://purl.obolibrary.org/obo/DHBA_10930>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area S1lm"	<http://purl.obolibrary.org/obo/DHBA_10931>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area S1lm"	<http://purl.obolibrary.org/obo/DHBA_10932>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area S1lm"	<http://purl.obolibrary.org/obo/DHBA_10933>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area S1lm"	<http://purl.obolibrary.org/obo/DHBA_10934>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area S1lm"	<http://purl.obolibrary.org/obo/DHBA_10935>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area S1lm"	<http://purl.obolibrary.org/obo/DHBA_10936>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 40rd"	<http://purl.obolibrary.org/obo/DHBA_10937>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 40rd"	<http://purl.obolibrary.org/obo/DHBA_10938>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 40rd"	<http://purl.obolibrary.org/obo/DHBA_10939>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 40rd"	<http://purl.obolibrary.org/obo/DHBA_10940>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 40rd"	<http://purl.obolibrary.org/obo/DHBA_10941>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 40rd"	<http://purl.obolibrary.org/obo/DHBA_10942>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 40rv"	<http://purl.obolibrary.org/obo/DHBA_10943>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 40rv"	<http://purl.obolibrary.org/obo/DHBA_10944>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 40rv"	<http://purl.obolibrary.org/obo/DHBA_10945>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 40rv"	<http://purl.obolibrary.org/obo/DHBA_10946>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 40rv"	<http://purl.obolibrary.org/obo/DHBA_10947>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 40rv"	<http://purl.obolibrary.org/obo/DHBA_10948>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 40in"	<http://purl.obolibrary.org/obo/DHBA_10961>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 40in"	<http://purl.obolibrary.org/obo/DHBA_10962>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer III of area 40in"	<http://purl.obolibrary.org/obo/DHBA_10963>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer IV of area 40in"	<http://purl.obolibrary.org/obo/DHBA_10964>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer V of area 40in"	<http://purl.obolibrary.org/obo/DHBA_10965>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer VI of area 40in"	<http://purl.obolibrary.org/obo/DHBA_10966>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer I of area 39r"	<http://purl.obolibrary.org/obo/DHBA_10967>
"structure with developmental contribution from neural crest"	<http://purl.obolibrary.org/obo/UBERON_0010314>	"layer II of area 39r"	<http://purl.obolibrary.org/obo/DHBA_10968>
