o,s,olabel,slabel,user_olabel,user_slabel
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17735,http://purl.obolibrary.org/obo/DMBA_17761
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15956,http://purl.obolibrary.org/obo/DMBA_15969
UBERON:0014741,UBERON:0002616,lateral pallium,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15956,http://purl.obolibrary.org/obo/DMBA_15969
UBERON:0002616,UBERON:0001785,regional part of brain,cranial nerve,http://purl.obolibrary.org/obo/MBA_1009,http://purl.obolibrary.org/obo/MBA_967
UBERON:0008933,UBERON:0002616,primary somatosensory cortex,regional part of brain,http://purl.obolibrary.org/obo/MBA_322,http://purl.obolibrary.org/obo/MBA_345
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_322,http://purl.obolibrary.org/obo/MBA_345
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_1014,http://purl.obolibrary.org/obo/MBA_321
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17352,http://purl.obolibrary.org/obo/DMBA_17353
UBERON:0001896,UBERON:0002616,medulla oblongata,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17352,http://purl.obolibrary.org/obo/DMBA_17353
UBERON:0002145,UBERON:0002616,interpeduncular nucleus,regional part of brain,http://purl.obolibrary.org/obo/MBA_100,http://purl.obolibrary.org/obo/MBA_607344862
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_100,http://purl.obolibrary.org/obo/MBA_607344862
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16846,http://purl.obolibrary.org/obo/DMBA_16849
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17421,http://purl.obolibrary.org/obo/DMBA_111220846
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17182,http://purl.obolibrary.org/obo/DMBA_111220740
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16117,http://purl.obolibrary.org/obo/DMBA_16121
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17318,http://purl.obolibrary.org/obo/DMBA_17338
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17004,http://purl.obolibrary.org/obo/DMBA_17012
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16470,http://purl.obolibrary.org/obo/DMBA_16471
UBERON:0005499,UBERON:0002616,rhombomere 1,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16915,http://purl.obolibrary.org/obo/DMBA_16919
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16915,http://purl.obolibrary.org/obo/DMBA_16919
UBERON:0007416,UBERON:0002152,cerebellar peduncle,middle cerebellar peduncle,http://purl.obolibrary.org/obo/MBA_752,http://purl.obolibrary.org/obo/MBA_78
UBERON:0002616,UBERON:0002152,regional part of brain,middle cerebellar peduncle,http://purl.obolibrary.org/obo/MBA_752,http://purl.obolibrary.org/obo/MBA_78
UBERON:0002474,UBERON:0002152,cerebellar peduncular complex,middle cerebellar peduncle,http://purl.obolibrary.org/obo/MBA_752,http://purl.obolibrary.org/obo/MBA_78
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_370,http://purl.obolibrary.org/obo/MBA_136
UBERON:0002616,UBERON:0002206,regional part of brain,mammillary body,http://purl.obolibrary.org/obo/MBA_467,http://purl.obolibrary.org/obo/MBA_331
UBERON:0002272,UBERON:0002206,medial zone of hypothalamus,mammillary body,http://purl.obolibrary.org/obo/MBA_467,http://purl.obolibrary.org/obo/MBA_331
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15809,http://purl.obolibrary.org/obo/DMBA_15810
UBERON:0010415,UBERON:0035876,barrel cortex,primary somatosensory area barrel field layer 6a,http://purl.obolibrary.org/obo/MBA_329,http://purl.obolibrary.org/obo/MBA_1038
UBERON:0002616,UBERON:0035876,regional part of brain,primary somatosensory area barrel field layer 6a,http://purl.obolibrary.org/obo/MBA_329,http://purl.obolibrary.org/obo/MBA_1038
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16793,http://purl.obolibrary.org/obo/DMBA_16800
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15571,http://purl.obolibrary.org/obo/DMBA_15572
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_126651786,http://purl.obolibrary.org/obo/DMBA_126651830
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_126651634,http://purl.obolibrary.org/obo/DMBA_126651666
UBERON:0005570,UBERON:0002616,rhombomere 2 floor plate,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17091,http://purl.obolibrary.org/obo/DMBA_112892333
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17091,http://purl.obolibrary.org/obo/DMBA_112892333
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_359,http://purl.obolibrary.org/obo/MBA_521
UBERON:0011173,UBERON:0002616,anterior division of bed nuclei of stria terminalis,regional part of brain,http://purl.obolibrary.org/obo/MBA_359,http://purl.obolibrary.org/obo/MBA_521
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_723,http://purl.obolibrary.org/obo/MBA_630
UBERON:0000204,UBERON:0002616,ventral part of telencephalon,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15751,http://purl.obolibrary.org/obo/DMBA_15784
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_15751,http://purl.obolibrary.org/obo/DMBA_15784
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17074,http://purl.obolibrary.org/obo/DMBA_17075
UBERON:0002616,UBERON:0015800,regional part of brain,taenia tectum of brain,http://purl.obolibrary.org/obo/MBA_698,http://purl.obolibrary.org/obo/MBA_589
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17188,http://purl.obolibrary.org/obo/DMBA_17189
UBERON:0002616,UBERON:0004545,regional part of brain,external capsule of telencephalon,http://purl.obolibrary.org/obo/MBA_956,http://purl.obolibrary.org/obo/MBA_579
UBERON:0035013,UBERON:0002616,temporal cortex association area,regional part of brain,http://purl.obolibrary.org/obo/MBA_541,http://purl.obolibrary.org/obo/MBA_234
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_541,http://purl.obolibrary.org/obo/MBA_234
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16613,http://purl.obolibrary.org/obo/DMBA_16614
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16437,http://purl.obolibrary.org/obo/DMBA_16438
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_776,http://purl.obolibrary.org/obo/MBA_956
UBERON:0002336,UBERON:0002616,corpus callosum,regional part of brain,http://purl.obolibrary.org/obo/MBA_776,http://purl.obolibrary.org/obo/MBA_956
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17735,http://purl.obolibrary.org/obo/DMBA_17801
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/MBA_362,http://purl.obolibrary.org/obo/MBA_617
UBERON:0002739,UBERON:0002616,medial dorsal nucleus of thalamus,regional part of brain,http://purl.obolibrary.org/obo/MBA_362,http://purl.obolibrary.org/obo/MBA_617
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_17624,http://purl.obolibrary.org/obo/DMBA_17625
UBERON:0002616,UBERON:0002616,regional part of brain,regional part of brain,http://purl.obolibrary.org/obo/DMBA_16205,http://purl.obolibrary.org/obo/DMBA_16206
