ID	Label	Subclass part of	Equivalent	SuperClass Label	Status	Approved by
http://purl.obolibrary.org/obo/DMBA_15890	"bed nucleus of the stria terminalis, medial amygdaloid division"	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15899	"medial amygdala, posterodorsal part"	http://purl.obolibrary.org/obo/UBERON_0002892		medial amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15900	"medial amygdala, posteroventral part"	http://purl.obolibrary.org/obo/UBERON_0002892		medial amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15901	"medial amygdala, anterodorsal part"	http://purl.obolibrary.org/obo/UBERON_0002892		medial amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15902	"medial amygdala, anteroventral part"	http://purl.obolibrary.org/obo/UBERON_0002892		medial amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15903	pallium		http://purl.obolibrary.org/obo/UBERON_0000203	pallium	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15904	ventral pallium		http://purl.obolibrary.org/obo/UBERON_0014913	ventral pallium	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15905	"olfactory bulb, principal part"	http://purl.obolibrary.org/obo/UBERON_0002264		olfactory bulb 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15909	OB granular layer		http://purl.obolibrary.org/obo/UBERON_0005378	olfactory bulb granule cell layer	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15910	OB inner plexiform layer		http://purl.obolibrary.org/obo/UBERON_0005379	olfactory bulb internal plexiform layer	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15910	OB inner plexiform layer		http://purl.obolibrary.org/obo/UBERON_0005379	olfactory bulb internal plexiform layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15912	OB mitral cell layer		http://purl.obolibrary.org/obo/UBERON_0004186	olfactory bulb mitral cell layer	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15912	OB mitral cell layer		http://purl.obolibrary.org/obo/UBERON_0004186	olfactory bulb mitral cell layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15913	OB outer plexiform layer		http://purl.obolibrary.org/obo/UBERON_0005376	olfactory bulb external plexiform layer	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15913	OB outer plexiform layer		http://purl.obolibrary.org/obo/UBERON_0005376	olfactory bulb external plexiform layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15917	"anterior olfactory area, ventral part"	http://purl.obolibrary.org/obo/UBERON_0002266		anterior olfactory nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15928	ventropallial prepiriform area	http://purl.obolibrary.org/obo/UBERON_0002590		prepyriform area 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15933	bed nucleus of the external capsule	http://purl.obolibrary.org/obo/UBERON_0001880		bed nucleus of stria terminalis 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15934	dorsal endopiriform nucleus	http://purl.obolibrary.org/obo/UBERON_0014284		endopiriform nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15935	ventral endopiriform nucleus	http://purl.obolibrary.org/obo/UBERON_0014284		endopiriform nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15940	ventropallial amygdalopiriform area	http://purl.obolibrary.org/obo/UBERON_0034989		amygdalopiriform transition area 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15944	lateral amygdaloid nucleus		http://purl.obolibrary.org/obo/UBERON_0002886	lateral amygdaloid nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15944	lateral amygdaloid nucleus		http://purl.obolibrary.org/obo/UBERON_0002886	lateral amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15945	amygdalohippocampal area		http://purl.obolibrary.org/obo/UBERON_0034673	amygdalohippocampal area	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15945	amygdalohippocampal area		http://purl.obolibrary.org/obo/UBERON_0034673	amygdalohippocampal area 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15947	"basomedial amygdaloid nucleus, anterior part"		http://purl.obolibrary.org/obo/UBERON_0002889	medial part of basal amygdaloid nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15948	"basomedial amygdaloid nucleus, posterior part"	http://purl.obolibrary.org/obo/UBERON_0002889		medial part of basal amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15950	posteromedial cortical amygdaloid area		http://purl.obolibrary.org/obo/UBERON_0035001	posteromedial cortical amygdaloid nucleus	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15950	posteromedial cortical amygdaloid area		http://purl.obolibrary.org/obo/UBERON_0035001	posteromedial cortical amygdaloid nucleus 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15951	nucleus of the lateral olfactory tract		http://purl.obolibrary.org/obo/UBERON_0002893	nucleus of lateral olfactory tract	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15951	nucleus of the lateral olfactory tract		http://purl.obolibrary.org/obo/UBERON_0002893	nucleus of lateral olfactory tract 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15955	nucleus of the accessory olfactory tract	http://purl.obolibrary.org/obo/UBERON_0002893		nucleus of lateral olfactory tract 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15956	lateral pallium		http://purl.obolibrary.org/obo/UBERON_0014741	lateral pallium	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15957	accessory olfactory bulb		http://purl.obolibrary.org/obo/UBERON_0004069	accessory olfactory bulb	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15961	"AOB, granular layer"		http://purl.obolibrary.org/obo/UBERON_0015244	accessory olfactory bulb granule cell layer	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15961	"AOB, granular layer"		http://purl.obolibrary.org/obo/UBERON_0015244	accessory olfactory bulb granule cell layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15962	"AOB, internal plexiform layer"		http://purl.obolibrary.org/obo/UBERON_0019290	accessory olfactory bulb internal plexiform layer	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15962	"AOB, internal plexiform layer"		http://purl.obolibrary.org/obo/UBERON_0019290	accessory olfactory bulb internal plexiform layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15964	"AOB, mitral cell layer"		http://purl.obolibrary.org/obo/UBERON_0015432	accessory olfactory bulb mitral cell layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15965	"AOB, outer plexiform layer"		http://purl.obolibrary.org/obo/UBERON_0019289	accessory olfactory bulb external plexiform layer	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15965	"AOB, outer plexiform layer"		http://purl.obolibrary.org/obo/UBERON_0019289	accessory olfactory bulb external plexiform layer 	Verified	https://ror.org/03cpe7c52
http://purl.obolibrary.org/obo/DMBA_15967	"AOB, glomerular layer"		http://purl.obolibrary.org/obo/UBERON_0007631	accessory olfactory bulb glomerular layer	Verified	https://ror.org/03cpe7c52
